Corner,Temp_C,VDD_V,Gain_dB,UGF_MHz,PhaseMargin_deg,CMRR_dB,PSRR_dB,Noise_nV_rtHz,Core_Current_uA,Total_Current_uA,Core_Power_uW,Total_Power_uW,NEF_Core,NEF_Sys,PEF_Core,PEF_Sys,Power_uW,NEF,PEF
TT,-40,0.55,69.13,1.672,66.4,108.2,88.1,21.9,2.71,2.9,1.49,1.59,1.55,1.76,1.32,1.71,1.59,1.55,1.32
TT,-40,0.6,69.88,1.824,66.4,108.8,88.6,21.9,2.96,3.16,1.78,1.9,1.55,1.76,1.44,1.87,1.9,1.55,1.44
TT,-40,0.65,70.63,1.977,66.4,108.7,87.9,21.9,3.21,3.42,2.08,2.23,1.55,1.76,1.56,2.02,2.23,1.55,1.56
TT,27,0.55,66.45,1.145,68.4,108.0,88.3,24.9,2.71,2.9,1.49,1.59,1.65,1.88,1.5,1.94,1.59,1.65,1.5
TT,27,0.6,67.2,1.249,68.4,108.8,88.6,24.9,2.96,3.16,1.78,1.9,1.65,1.88,1.63,2.12,1.9,1.65,1.63
TT,27,0.65,67.95,1.353,68.4,108.8,88.0,24.9,3.21,3.42,2.08,2.23,1.65,1.88,1.77,2.3,2.23,1.65,1.77
TT,85,0.55,64.13,0.878,70.1,108.7,88.5,27.2,2.71,2.9,1.49,1.59,1.72,1.96,1.64,2.12,1.59,1.72,1.64
TT,85,0.6,64.88,0.958,70.1,108.6,88.5,27.2,2.96,3.16,1.78,1.9,1.72,1.96,1.78,2.32,1.9,1.72,1.78
TT,85,0.65,65.63,1.038,70.1,108.7,87.9,27.2,3.21,3.42,2.08,2.23,1.72,1.96,1.93,2.51,2.23,1.72,1.93
FF,-40,0.55,65.93,2.258,65.2,106.1,86.5,18.9,3.66,3.91,2.01,2.15,1.8,2.05,1.78,2.31,2.15,1.8,1.78
FF,-40,0.6,66.68,2.463,65.2,105.2,86.7,18.9,4.0,4.27,2.4,2.56,1.8,2.05,1.94,2.52,2.56,1.8,1.94
FF,-40,0.65,67.43,2.668,65.2,105.5,86.2,18.9,4.33,4.62,2.81,3.0,1.8,2.05,2.11,2.73,3.0,1.8,2.11
FF,27,0.55,63.25,1.546,67.2,106.0,86.0,21.4,3.66,3.91,2.01,2.15,1.92,2.18,2.02,2.62,2.15,1.92,2.02
FF,27,0.6,64.0,1.686,67.2,105.7,86.4,21.4,4.0,4.27,2.4,2.56,1.92,2.18,2.21,2.86,2.56,1.92,2.21
FF,27,0.65,64.75,1.827,67.2,105.6,86.2,21.4,4.33,4.62,2.81,3.0,1.92,2.18,2.39,3.1,3.0,1.92,2.39
FF,85,0.55,60.93,1.186,68.9,106.4,86.2,23.4,3.66,3.91,2.01,2.15,2.0,2.28,2.21,2.87,2.15,2.0,2.21
FF,85,0.6,61.68,1.294,68.9,106.4,85.9,23.4,4.0,4.27,2.4,2.56,2.0,2.28,2.41,3.13,2.56,2.0,2.41
FF,85,0.65,62.43,1.401,68.9,106.0,86.0,23.4,4.33,4.62,2.81,3.0,2.0,2.28,2.61,3.39,3.0,2.0,2.61
SS,-40,0.55,71.93,1.204,67.4,110.8,89.6,25.8,1.95,2.09,1.07,1.15,1.31,1.5,0.95,1.23,1.15,1.31,0.95
SS,-40,0.6,72.68,1.314,67.4,111.0,89.5,25.8,2.13,2.28,1.28,1.37,1.31,1.5,1.04,1.35,1.37,1.31,1.04
SS,-40,0.65,73.43,1.423,67.4,110.7,89.3,25.8,2.31,2.46,1.5,1.6,1.31,1.5,1.12,1.46,1.6,1.31,1.12
SS,27,0.55,69.25,0.824,69.4,110.7,89.9,29.3,1.95,2.09,1.07,1.15,1.4,1.6,1.08,1.4,1.15,1.4,1.08
SS,27,0.6,70.0,0.899,69.4,110.9,90.1,29.3,2.13,2.28,1.28,1.37,1.4,1.6,1.18,1.53,1.37,1.4,1.18
SS,27,0.65,70.75,0.974,69.4,111.1,89.7,29.3,2.31,2.46,1.5,1.6,1.4,1.6,1.27,1.65,1.6,1.4,1.27
SS,85,0.55,66.93,0.632,71.1,110.8,89.5,32.0,1.95,2.09,1.07,1.15,1.46,1.67,1.18,1.53,1.15,1.46,1.18
SS,85,0.6,67.68,0.69,71.1,111.2,90.0,32.0,2.13,2.28,1.28,1.37,1.46,1.67,1.28,1.67,1.37,1.46,1.28
SS,85,0.65,68.43,0.747,71.1,111.1,89.6,32.0,2.31,2.46,1.5,1.6,1.46,1.67,1.39,1.81,1.6,1.46,1.39
SF,-40,0.55,68.03,1.923,65.9,107.6,87.9,20.4,3.12,3.33,1.72,1.83,1.66,1.89,1.52,1.97,1.83,1.66,1.52
